name,address,city,lat,long,company,connector,power_supply,charging_speed,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
אמות בית הורד חניון למנויים בלבד,דרך השלום 53,גבעתיים,32.0672727,34.80303382,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
רובינשטיין – מגדל תאומים – יצחק שדה 6,יצחק שדה 6-8,תל אביב,32.065357,34.785461,EV-Edge,type 2,22.08,איטי,,
